,PopCode2,n,PopName,L,M,S,mean_flr_num,mean_frt_num,mean_seed_per_fruit,sd_seed_per_fruit,mean_seeds_per_plant,Type_label,Fert_level,Fert_level_total_seed,Fert_level_seed_fruit
1,EO.T6,38,Cow Bay QUBS,NA,NA,NA,96.625,96.3125,26.7859375,10.51557482,2711.653125,P,High,High,High
2,ON.D2,26,Scugog,NA,NA,NA,49,47.72413793,11.87068966,7.255041563,603.7034483,P,Mid,Mid,High
3,ON.D5,20,Bewdley A,NA,NA,NA,160.5151515,158.7272727,23.01832612,13.06386188,3766.225253,P,High,High,High
4,ON.D7,21,Otty Lake,NA,NA,NA,149.65625,149.65625,12.04642857,11.36721425,1684.724107,P,High,High,High
5,ON.D9,17,Pumphouse Marsh,375,0,264,181.7714286,181.6857143,35.71544218,18.90719524,6750.223061,P,High,High,High
6,ON.M1,15,Horseshoe Lake,387,0,0,49.25,47.28125,15.1594122,5.984472618,776.3075893,M,Mid,Mid,High
7,ON.M10,5,Lac LaPeche,NA,NA,NA,97.39130435,97,11.22411318,17.05612652,1337.767495,M,High,High,High
8,ON.M12,6,Holland River,NA,NA,NA,88.57142857,88,10.19345238,10.34940043,1028.221429,M,High,High,High
9,ON.M13,35,Barrie,NA,NA,NA,45.97058824,45.32352941,17.38193277,6.144245487,847.4445378,M,Mid,Mid,High
10,ON.M3,34,Mud Lake,0,425,0,37.14814815,32.7037037,11.05185185,7.949517984,669.1333333,M,Mid,Mid,High
11,ON.M8,17,Jock River I,0,0,79,65.39285714,64.07142857,16.65758999,4.939595076,1079.982389,M,High,High,High
12,ON.T12,29,Loch Garry,109,14,106,77.06060606,68.57575758,19.09379509,18.77118593,1079.901443,P,High,High,High
13,ON.T14,15,Black River ,NA,NA,NA,39.5,37,13.07833333,10.43952913,496.345,P,Low,Low,High
14,ON.T16,20,Rideau Bird Sanctuary,62,26,1,45.3,39.7,21.25333333,18.91408744,1314.133333,P,High,High,High
15,EO.T1,3,Stonehouse Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,High_no_seed,High_no_seed,High_no_seed
16,EO.T12,2,Cranberry Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,High_no_seed,High_no_seed,High_no_seed
17,EO.T3,12,NE Sanctuary,NA,NA,NA,NA,NA,NA,NA,NA,NA,High_no_seed,High_no_seed,High_no_seed
18,ON.T10,26,Rice Lake B,NA,NA,NA,NA,NA,NA,NA,NA,NA,High_no_seed,High_no_seed,High_no_seed
19,ON.T15,35,Puslinch Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,High_no_seed,High_no_seed,High_no_seed
21,ON.D10,32,Samuel de Champlain,0,2,161,21.57575758,5,0.334559885,0.776272664,3.128787879,P,Low,Low,Low
22,ON.D8,10,Ardoch,19,0,47,56.55555556,46.66666667,2.13015873,2.385366147,151.5904762,P,Low,Low,Low
23,ON.M2,14,Jevins,NA,NA,NA,13.94594595,6.891891892,4.061947662,3.530109711,41.35439725,M,Low,Low,Low
24,ON.M4,15,Caledon,NA,NA,NA,12.4,4.1,1.54,2.76975731,17.68,M,Low,Low,Low
25,ON.M6,40,Hindon bog,NA,NA,NA,21.26666667,2.833333333,3.101666667,11.25591403,97.35,M,Low,Low,Low
26,ON.M7,6,East Silver Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,low_no_seed,low_no_seed,low_no_seed
27,ON.M11,19,Ferguson,NA,NA,NA,52.59375,17.40625,9.26953125,14.58963314,399.6833333,M,Low,Low,Mid
28,ON.M14,32,Lafarce,NA,NA,NA,13,11.03448276,7.284482759,2.123526244,83.43333333,M,Low,Low,Mid
29,ON.M15,18,Kagawong,0,168,0,65.5483871,62.51612903,8.919354839,4.215243714,582.6258065,M,Mid,Mid,Mid
30,ON.M16,24,Corry Lake,0,0,51,56.96666667,55.76666667,6.013851241,3.147981927,269.4823341,M,Low,Low,Mid
31,ON.M5,19,Round Lake,0,0,188,29.77419355,23.87096774,5.589400922,7.637128814,224.611828,M,Low,Low,Mid
32,ON.M9,25,Constance Lake,226,0,0,37.17647059,32.02941176,7.43890056,13.35349116,259.7005602,M,Low,Low,Mid
33,ON.T13,28,Joes Lake,21,3,127,25.91428571,17.97142857,9.813333333,10.38112029,225.1901361,P,Low,Low,Mid
15,East Silver Lake,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High_no_seed,High_no_seed,High_no_seed