Envelope_ID,Type,PopName,Pop_ID,PopCode2,Date_collected,Clump_size,Secondary_branches,Flower_num,Fruit_num
148,M,Jock River I,M8,ON.M8,2013-10-15,40,0,150,150
609,M,Jock River I,M8,ON.M8,2013-10-15,20,0,30,30
455,M,Jock River I,M8,ON.M8,2013-10-15,20,0,65,65
617,M,Jock River I,M8,ON.M8,2013-10-15,30,0,80,80
421,M,Jock River I,M8,ON.M8,2013-10-15,40,0,70,65
15,M,Jock River I,M8,ON.M8,2013-10-15,20,0,45,40
571,M,Jock River I,M8,ON.M8,2013-10-15,30,0,20,20
688,M,Jock River I,M8,ON.M8,2013-10-15,5,12,60,55
7,M,Jock River I,M8,ON.M8,2013-10-15,20,0,80,80
41,M,Jock River I,M8,ON.M8,2013-10-15,20,0,90,90
357,M,Jock River I,M8,ON.M8,2013-10-15,20,0,90,88
68,M,Jock River I,M8,ON.M8,2013-10-15,30,0,130,125
30,M,Jock River I,M8,ON.M8,2013-10-15,40,0,55,55
1,M,Jock River I,M8,ON.M8,2013-10-15,12,0,14,8
247,M,Jock River I,M8,ON.M8,2013-10-15,30,7,12,12
407,M,Jock River I,M8,ON.M8,2013-10-15,25,0,65,65
59,M,Jock River I,M8,ON.M8,2013-10-15,12,9,45,45
261,M,Jock River I,M8,ON.M8,2013-10-15,25,20,20,20
67,M,Jock River I,M8,ON.M8,2013-10-15,15,0,45,45
118,M,Jock River I,M8,ON.M8,2013-10-15,15,0,80,80
367,M,Jock River I,M8,ON.M8,2013-10-15,>20,7,100,100
48,M,Jock River I,M8,ON.M8,2013-10-15,20,0,25,25
629,M,Jock River I,M8,ON.M8,2013-10-15,20,0,80,77
603,M,Jock River I,M8,ON.M8,2013-10-15,35,0,20,20
423,M,Jock River I,M8,ON.M8,2013-10-15,40,0,100,100
450,M,Jock River I,M8,ON.M8,2013-10-15,25,0,90,90
380,M,Jock River I,M8,ON.M8,2013-10-15,30,0,100,99
642,M,Jock River I,M8,ON.M8,2013-10-15,,0,70,65
398,M,Jevins,M2,ON.M2,2025-10-15,,0,44,25
304,M,Jevins,M2,ON.M2,2025-10-15,,0,6,3
237,M,Jevins,M2,ON.M2,2025-10-15,,8,18,5
11,M,Jevins,M2,ON.M2,2025-10-15,,0,4,0
214,M,Jevins,M2,ON.M2,2025-10-15,,0,3,2
288,M,Jevins,M2,ON.M2,2025-10-15,,0,21,20
163,M,Jevins,M2,ON.M2,2025-10-15,,0,10,3
241,M,Jevins,M2,ON.M2,2025-10-15,,0,37,13
425,M,Jevins,M2,ON.M2,2025-10-15,,0,25,17
387,M,Jevins,M2,ON.M2,2025-10-15,,0,12,11
575,M,Jevins,M2,ON.M2,2025-10-15,,0,6,5
600,M,Jevins,M2,ON.M2,2025-10-15,,0,9,9
73,M,Jevins,M2,ON.M2,2025-10-15,,0,11,10
548,M,Jevins,M2,ON.M2,2025-10-15,,0,21,10
23,M,Jevins,M2,ON.M2,2025-10-15,,0,15,7
465,M,Jevins,M2,ON.M2,2025-10-15,,0,14,14
485,M,Jevins,M2,ON.M2,2025-10-15,,0,33,20
668,M,Jevins,M2,ON.M2,2025-10-15,,0,31,26
405,M,Jevins,M2,ON.M2,2025-10-15,,0,10,10
411,M,Jevins,M2,ON.M2,2025-10-15,,0,2,0
351,M,Jevins,M2,ON.M2,2025-10-15,,0,8,2
162,M,Jevins,M2,ON.M2,2025-10-15,,0,5,0
201,M,Jevins,M2,ON.M2,2025-10-15,,0,35,10
107,M,Jevins,M2,ON.M2,2025-10-15,,7,21,7
228,M,Jevins,M2,ON.M2,2025-10-15,,0,1,1
339,M,Jevins,M2,ON.M2,2025-10-15,,0,4,1
277,M,Jevins,M2,ON.M2,2025-10-15,,7,13,1
342,M,Jevins,M2,ON.M2,2025-10-15,,0,18,9
371,M,Jevins,M2,ON.M2,2025-10-15,2,0,2,1
349,M,Jevins,M2,ON.M2,2025-10-15,,8,7,3
178,M,Jevins,M2,ON.M2,2025-10-15,,0,9,0
58,M,Jevins,M2,ON.M2,2025-10-15,,0,9,2
563,M,Jevins,M2,ON.M2,2025-10-15,,0,22,3
528,M,Jevins,M2,ON.M2,2025-10-15,,0,2,2
413,M,Jevins,M2,ON.M2,2025-10-15,,0,4,1
249,M,Jevins,M2,ON.M2,2025-10-15,,6,16,2
21,M,Jevins,M2,ON.M2,2025-10-15,,0,8,0
497,M,Hindon bog,M6,ON.M6,2024-10-15,,0,12,0
461,M,Hindon bog,M6,ON.M6,2024-10-15,,0,15,0
650,M,Hindon bog,M6,ON.M6,2024-10-15,,0,3,0
638,M,Hindon bog,M6,ON.M6,2024-10-15,,5,2,0
587,M,Hindon bog,M6,ON.M6,2024-10-15,,0,11,0
467,M,Hindon bog,M6,ON.M6,2024-10-15,,0,2,0
343,M,Hindon bog,M6,ON.M6,2024-10-15,,6,6,0
255,M,Hindon bog,M6,ON.M6,2024-10-15,,0,3,0
5,M,Hindon bog,M6,ON.M6,2024-10-15,,0,9,0
552,M,Hindon bog,M6,ON.M6,2024-10-15,,0,12,0
100,M,Hindon bog,M6,ON.M6,2024-10-15,,0,10,0
404,M,Hindon bog,M6,ON.M6,2024-10-15,,0,11,0
219,M,Hindon bog,M6,ON.M6,2024-10-15,,0,4,4
579,M,Hindon bog,M6,ON.M6,2024-10-15,,0,26,0
593,M,Hindon bog,M6,ON.M6,2024-10-15,,0,25,14
324,M,Hindon bog,M6,ON.M6,2024-10-15,,0,13,0
114,M,Hindon bog,M6,ON.M6,2024-10-15,,0,2,0
298,M,Hindon bog,M6,ON.M6,2024-10-15,,0,13,0
243,M,Hindon bog,M6,ON.M6,2024-10-15,,0,19,0
276,M,Hindon bog,M6,ON.M6,2024-10-15,,0,10,0
111,M,Hindon bog,M6,ON.M6,2024-10-15,,0,19,0
45,M,Hindon bog,M6,ON.M6,2024-10-15,,0,22,0
312,M,Hindon bog,M6,ON.M6,2024-10-15,,0,8,0
193,M,Hindon bog,M6,ON.M6,2024-10-15,,10,42,0
514,M,Hindon bog,M6,ON.M6,2024-10-15,,0,21,0
530,M,Hindon bog,M6,ON.M6,2024-10-15,,0,11,0
414,M,Hindon bog,M6,ON.M6,2024-10-15,,0,7,2
246,M,Hindon bog,M6,ON.M6,2024-10-15,,6,50,45
542,M,Round Lake,M5,ON.M5,2024-10-15,,0,9,4
358,M,Round Lake,M5,ON.M5,2024-10-15,,0,33,14
138,M,Round Lake,M5,ON.M5,2024-10-15,,0,22,13
117,M,Round Lake,M5,ON.M5,2024-10-15,,0,20,15
12,M,Round Lake,M5,ON.M5,2024-10-15,15,18,50,50
141,M,Round Lake,M5,ON.M5,2024-10-15,,0,2,2
42,M,Round Lake,M5,ON.M5,2024-10-15,,0,11,4
657,M,Round Lake,M5,ON.M5,2024-10-15,,0,12,3
683,M,Round Lake,M5,ON.M5,2024-10-15,,12,120,110
623,M,Round Lake,M5,ON.M5,2024-10-15,,0,4,3
555,M,Round Lake,M5,ON.M5,2024-10-15,,0,15,6
517,M,Round Lake,M5,ON.M5,2024-10-15,,0,10,8
153,M,Round Lake,M5,ON.M5,2024-10-15,,5,105,105
540,M,Round Lake,M5,ON.M5,2024-10-15,,0,12,3
183,M,Round Lake,M5,ON.M5,2024-10-15,,0,23,15
213,M,Round Lake,M5,ON.M5,2024-10-15,,0,3,3
310,M,Round Lake,M5,ON.M5,2024-10-15,,3,90,85
223,M,Round Lake,M5,ON.M5,2024-10-15,,0,20,15
144,M,Round Lake,M5,ON.M5,2024-10-15,,0,11,9
365,M,Round Lake,M5,ON.M5,2024-10-15,,0,15,7
244,M,Round Lake,M5,ON.M5,2024-10-15,,0,60,50
129,M,Round Lake,M5,ON.M5,2024-10-15,,6,65,50
84,M,Round Lake,M5,ON.M5,2024-10-15,,0,11,7
273,M,Round Lake,M5,ON.M5,2024-10-15,,6,8,0
95,M,Round Lake,M5,ON.M5,2024-10-15,,0,10,6
303,M,Round Lake,M5,ON.M5,2024-10-15,3,0,6,0
333,M,Round Lake,M5,ON.M5,2024-10-15,,0,21,15
512,M,Round Lake,M5,ON.M5,2024-10-15,,0,20,19
482,M,Round Lake,M5,ON.M5,2024-10-15,,8,15,11
33,P,Loch Garry,T12,ON.T12,2023-10-15,,0,85,80
334,P,Loch Garry,T12,ON.T12,2023-10-15,,6,190,180
510,P,Loch Garry,T12,ON.T12,2023-10-15,6 to 8,0,12,12
29,P,Loch Garry,T12,ON.T12,2023-10-15,,5,80,80
77,P,Loch Garry,T12,ON.T12,2023-10-15,,9,230,225
104,P,Loch Garry,T12,ON.T12,2023-10-15,,0,85,85
132,P,Loch Garry,T12,ON.T12,2023-10-15,,0,95,95
20,P,Loch Garry,T12,ON.T12,2023-10-15,8,0,28,28
102,P,Loch Garry,T12,ON.T12,2023-10-15,,0,75,75
81,P,Loch Garry,T12,ON.T12,2023-10-15,,5,30,30
209,P,Loch Garry,T12,ON.T12,2023-10-15,7,0,12,11
106,P,Loch Garry,T12,ON.T12,2023-10-15,20,8,110,105
126,P,Loch Garry,T12,ON.T12,2023-10-15,,7,50,50
133,P,Loch Garry,T12,ON.T12,2023-10-15,4,3,45,45
17,P,Loch Garry,T12,ON.T12,2023-10-15,20,0,30,30
65,P,Loch Garry,T12,ON.T12,2023-10-15,4,0,65,55
69,P,Loch Garry,T12,ON.T12,2023-10-15,20,0,9,9
49,P,Loch Garry,T12,ON.T12,2023-10-15,10,0,12,12
315,P,Loch Garry,T12,ON.T12,2023-10-15,10,0,40,38
124,P,Loch Garry,T12,ON.T12,2023-10-15,10,4,60,60
26,P,Loch Garry,T12,ON.T12,2023-10-15,4,18,50,50
513,P,Loch Garry,T12,ON.T12,2023-10-15,5,11,205,205
543,P,Loch Garry,T12,ON.T12,2023-10-15,4,0,55,55
572,P,Loch Garry,T12,ON.T12,2023-10-15,,6,10,10
632,P,Loch Garry,T12,ON.T12,2023-10-15,15,0,55,45
368,P,Loch Garry,T12,ON.T12,2023-10-15,6,0,25,20
3,P,Loch Garry,T12,ON.T12,2023-10-15,,8,200,190
34,P,Loch Garry,T12,ON.T12,2023-10-15,,5,60,60
186,P,Loch Garry,T12,ON.T12,2023-10-15,,0,45,40
156,P,Loch Garry,T12,ON.T12,2023-10-15,10,8,45,43
220,P,Loch Garry,T12,ON.T12,2023-10-15,,11,125,125
410,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,6,215,215
348,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,0,23,20
330,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,0,105,105
327,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,10,230,230
150,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,8,500,500
108,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,14,245,245
36,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,8,130,130
6,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,7,195,195
63,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,14,320,320
671,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,8,139,139
608,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,7,144,144
516,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,2,102,102
518,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,0,115,115
309,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,0,55,55
458,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,0,70,70
216,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,0,105,105
395,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,0,95,95
336,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,3,90,90
252,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,2,134,134
515,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,0,70,70
605,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,0,50,50
66,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,4,88,88
8,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,14,280,280
14,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,14,345,345
452,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,16,360,360
488,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,17,490,490
539,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,14,460,460
521,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,12,215,215
401,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,0,20,20
305,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,16,210,210
321,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,4,40,40
123,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,10,180,180
306,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,10,295,295
96,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,6,65,65
346,P,Bewdley A,D5,ON.D5,1930-10-15,,10,330,310
313,P,Bewdley A,D5,ON.D5,1930-10-15,,10,80,80
392,P,Bewdley A,D5,ON.D5,1930-10-15,,12,140,135
120,P,Bewdley A,D5,ON.D5,1930-10-15,5,0,87,85
524,P,Bewdley A,D5,ON.D5,1930-10-15,,5,215,215
614,P,Bewdley A,D5,ON.D5,1930-10-15,,6,187,187
9,P,Bewdley A,D5,ON.D5,1930-10-15,,14,265,265
225,P,Bewdley A,D5,ON.D5,1930-10-15,,17,425,425
159,P,Bewdley A,D5,ON.D5,1930-10-15,,5,85,85
39,P,Bewdley A,D5,ON.D5,1930-10-15,15,7,95,90
307,P,Bewdley A,D5,ON.D5,1930-10-15,,8,210,210
519,P,Bewdley A,D5,ON.D5,1930-10-15,15,4,155,155
464,P,Bewdley A,D5,ON.D5,1930-10-15,8,21,215,215
635,P,Bewdley A,D5,ON.D5,1930-10-15,6,10,285,285
545,P,Bewdley A,D5,ON.D5,1930-10-15,3,6,25,25
578,P,Bewdley A,D5,ON.D5,1930-10-15,20,14,5,5
611,P,Bewdley A,D5,ON.D5,1930-10-15,,14,110,110
72,P,Bewdley A,D5,ON.D5,1930-10-15,20,9,20,20
189,P,Bewdley A,D5,ON.D5,1930-10-15,,10,100,100
97,P,Bewdley A,D5,ON.D5,1930-10-15,,7,30,30
127,P,Bewdley A,D5,ON.D5,1930-10-15,,6,125,125
70,P,Bewdley A,D5,ON.D5,1930-10-15,12,0,55,55
40,P,Bewdley A,D5,ON.D5,1930-10-15,4,12,5,5
192,P,Bewdley A,D5,ON.D5,1930-10-15,6,0,35,35
168,P,Bewdley A,D5,ON.D5,1930-10-15,12,9,38,38
217,P,Bewdley A,D5,ON.D5,1930-10-15,12,10,165,165
250,P,Bewdley A,D5,ON.D5,1930-10-15,,8,155,150
554,P,Bewdley A,D5,ON.D5,1930-10-15,6,3,20,18
665,P,Bewdley A,D5,ON.D5,1930-10-15,5,19,440,440
422,M,Caledon,M4,ON.M4,2025-10-15,,0,5,0
374,M,Caledon,M4,ON.M4,2025-10-15,,0,3,1
345,M,Caledon,M4,ON.M4,2025-10-15,,0,4,0
234,M,Caledon,M4,ON.M4,2025-10-15,,0,5,0
177,M,Caledon,M4,ON.M4,2025-10-15,,0,4,4
198,M,Caledon,M4,ON.M4,2025-10-15,,0,22,7
87,M,Caledon,M4,ON.M4,2025-10-15,,0,5,0
674,M,Caledon,M4,ON.M4,2025-10-15,,0,15,4
641,M,Caledon,M4,ON.M4,2025-10-15,,0,6,0
54,M,Caledon,M4,ON.M4,2025-10-15,,6,55,25
18,P,Rideau Bird Sanctuary,T17,ON.T16,2026-10-15,,0,55,0
581,P,Rideau Bird Sanctuary,T17,ON.T16,2026-10-15,20,0,20,20
130,P,Rideau Bird Sanctuary,T17,ON.T16,2026-10-15,,6,50,50
174,P,Rideau Bird Sanctuary,T17,ON.T16,2026-10-15,,0,36,36
195,P,Rideau Bird Sanctuary,T17,ON.T16,2026-10-15,,0,55,55
180,P,Rideau Bird Sanctuary,T17,ON.T16,2026-10-15,,8,110,110
78,P,Rideau Bird Sanctuary,T17,ON.T16,2026-10-15,6,0,2,1
620,P,Rideau Bird Sanctuary,T17,ON.T16,2026-10-15,,3,50,50
551,P,Rideau Bird Sanctuary,T17,ON.T16,2026-10-15,15,0,25,25
525,P,Rideau Bird Sanctuary,T17,ON.T16,2026-10-15,10,0,50,50
109,P,Otty Lake,D7,ON.D7,2026-10-15,,10,125,125
389,P,Otty Lake,D7,ON.D7,2026-10-15,1,10,180,180
51,P,Otty Lake,D7,ON.D7,2026-10-15,,6,189,189
240,P,Otty Lake,D7,ON.D7,2026-10-15,,8,205,205
270,P,Otty Lake,D7,ON.D7,2026-10-15,4,0,109,109
331,P,Otty Lake,D7,ON.D7,2026-10-15,,0,87,87
434,P,Otty Lake,D7,ON.D7,2026-10-15,10,11,295,295
416,P,Otty Lake,D7,ON.D7,2026-10-15,,12,275,275
302,P,Otty Lake,D7,ON.D7,2026-10-15,,10,80,80
717,P,Otty Lake,D7,ON.D7,2026-10-15,,0,25,25
570,P,Otty Lake,D7,ON.D7,2026-10-15,,6,150,150
536,P,Otty Lake,D7,ON.D7,2026-10-15,,8,170,170
506,P,Otty Lake,D7,ON.D7,2026-10-15,,8,360,360
242,P,Otty Lake,D7,ON.D7,2026-10-15,,0,95,95
181,P,Otty Lake,D7,ON.D7,2026-10-15,,2,170,170
4,P,Otty Lake,D7,ON.D7,2026-10-15,,18,140,140
476,P,Otty Lake,D7,ON.D7,2026-10-15,,0,115,115
89,P,Otty Lake,D7,ON.D7,2026-10-15,,0,35,35
716,P,Otty Lake,D7,ON.D7,2026-10-15,,16,305,305
601,P,Otty Lake,D7,ON.D7,2026-10-15,,5,190,190
505,P,Otty Lake,D7,ON.D7,2026-10-15,,8,120,120
478,P,Otty Lake,D7,ON.D7,2026-10-15,,0,110,110
448,P,Otty Lake,D7,ON.D7,2026-10-15,,4,168,168
356,P,Otty Lake,D7,ON.D7,2026-10-15,,0,127,127
266,P,Otty Lake,D7,ON.D7,2026-10-15,20,11,100,100
53,P,Otty Lake,D7,ON.D7,2026-10-15,,6,258,258
28,P,Otty Lake,D7,ON.D7,2026-10-15,,10,125,125
523,P,Otty Lake,D7,ON.D7,2026-10-15,6,0,30,30
272,P,Otty Lake,D7,ON.D7,2026-10-15,8,0,36,36
420,P,Otty Lake,D7,ON.D7,2026-10-15,,5,85,85
390,P,Otty Lake,D7,ON.D7,2026-10-15,,0,165,165
419,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,0,49,49
479,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,8,0,37,37
386,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,12,258,258
360,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,6,229,229
426,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,0,84,84
747,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,0,68,68
82,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,10,82,82
10,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,12,135,135
35,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,1,105,105
185,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,6,8,37,37
98,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,4,55,55
215,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,9,150,150
275,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,6,0,67,67
308,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,4,0,10,10
511,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,4,115,110
509,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,3,35,35
508,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,4,100,100
359,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,0,100,100
391,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,6,145,145
364,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,4,70,70
520,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,3,80,80
451,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,10,185,185
449,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,4,110,110
720,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,12,195,195
76,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,4,85,85
62,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,10,140,140
211,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,3,0,58,58
121,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,0,53,53
152,P,Cow Bay QUBS,T6,EO.T6,2027-10-15,,3,45,45
500,M,Constance Lake,M9,ON.M9,2013-10-15,,9,35,35
713,M,Constance Lake,M9,ON.M9,2013-10-15,,4,70,69
494,M,Constance Lake,M9,ON.M9,2013-10-15,,6,35,35
119,M,Constance Lake,M9,ON.M9,2013-10-15,,16,30,30
207,M,Constance Lake,M9,ON.M9,2013-10-15,,13,25,0
680,M,Constance Lake,M9,ON.M9,2013-10-15,,10,13,13
25,M,Constance Lake,M9,ON.M9,2013-10-15,,10,40,30
149,M,Constance Lake,M9,ON.M9,2013-10-15,,10,80,80
584,M,Constance Lake,M9,ON.M9,2013-10-15,,9,20,20
110,M,Constance Lake,M9,ON.M9,2013-10-15,,8,35,30
204,M,Constance Lake,M9,ON.M9,2013-10-15,,9,20,20
258,M,Constance Lake,M9,ON.M9,2013-10-15,,13,3,3
707,M,Constance Lake,M9,ON.M9,2013-10-15,,11,45,20
13,M,Constance Lake,M9,ON.M9,2013-10-15,,5,7,7
202,M,Constance Lake,M9,ON.M9,2013-10-15,,8,10,7
140,M,Constance Lake,M9,ON.M9,2013-10-15,,14,75,75
653,M,Constance Lake,M9,ON.M9,2013-10-15,,12,35,30
565,M,Constance Lake,M9,ON.M9,2013-10-15,,14,35,0
628,M,Constance Lake,M9,ON.M9,2013-10-15,,6,15,8
658,M,Constance Lake,M9,ON.M9,2013-10-15,,12,50,50
122,M,Constance Lake,M9,ON.M9,2013-10-15,,8,21,11
598,M,Constance Lake,M9,ON.M9,2013-10-15,12,9,75,75
710,M,Constance Lake,M9,ON.M9,2013-10-15,,8,65,63
686,M,Constance Lake,M9,ON.M9,2013-10-15,3,10,10,8
316,M,Constance Lake,M9,ON.M9,2013-10-15,,13,35,30
322,M,Constance Lake,M9,ON.M9,2013-10-15,,18,110,110
470,M,Constance Lake,M9,ON.M9,2013-10-15,,8,10,10
282,M,Constance Lake,M9,ON.M9,2013-10-15,,10,35,20
402,M,Constance Lake,M9,ON.M9,2013-10-15,,10,60,60
377,M,Constance Lake,M9,ON.M9,2013-10-15,2,8,15,12
590,M,Constance Lake,M9,ON.M9,2013-10-15,,10,20,8
715,M,Constance Lake,M9,ON.M9,2013-10-15,2,12,45,45
269,M,Mud Lake,M3,ON.M3,2016-10-15,6,3,10,8
64,M,Mud Lake,M3,ON.M3,2016-10-15,8,8,195,190
481,M,Mud Lake,M3,ON.M3,2016-10-15,12,7,20,20
721,M,Mud Lake,M3,ON.M3,2016-10-15,15,0,10,9
722,M,Mud Lake,M3,ON.M3,2016-10-15,15,0,20,15
85,M,Mud Lake,M3,ON.M3,2016-10-15,,0,75,60
56,M,Mud Lake,M3,ON.M3,2016-10-15,,0,35,30
206,M,Mud Lake,M3,ON.M3,2016-10-15,8,0,6,2
239,M,Mud Lake,M3,ON.M3,2016-10-15,8,0,11,0
179,M,Mud Lake,M3,ON.M3,2016-10-15,,0,15,10
151,M,Mud Lake,M3,ON.M3,2016-10-15,,0,30,27
115,M,Mud Lake,M3,ON.M3,2016-10-15,,0,55,45
538,M,Mud Lake,M3,ON.M3,2016-10-15,,0,5,3
362,M,Mud Lake,M3,ON.M3,2016-10-15,,0,35,35
719,M,Mud Lake,M3,ON.M3,2016-10-15,,1,25,25
631,M,Mud Lake,M3,ON.M3,2016-10-15,,0,10,9
203,M,Mud Lake,M3,ON.M3,2016-10-15,,0,4,0
31,M,Mud Lake,M3,ON.M3,2016-10-15,,0,5,3
718,M,Mud Lake,M3,ON.M3,2016-10-15,,0,11,7
91,M,Mud Lake,M3,ON.M3,2016-10-15,,0,45,40
27,M,Mud Lake,M3,ON.M3,2016-10-15,,0,23,1
690,M,Mud Lake,M3,ON.M3,2016-10-15,,0,20,17
691,M,Mud Lake,M3,ON.M3,2016-10-15,,0,30,25
661,M,Mud Lake,M3,ON.M3,2016-10-15,,0,21,20
610,P,Scugog,D2,ON.D2,2026-10-15,,4,75,75
